setting,seed,method,alpha,beta,gamma,ridge_lambda,ratio_estimator,clipping,candidate_pool_size,adaptive_gamma,target_mse,ess,condition_number,ratio_uncertainty,weight_second_moment,target_excess_risk_vs_oracle,regret_gap_to_oracle_selected_source,gamma_effective
A,11,stability_aware_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.09300022911425868,73.21848617700095,15.149774637724713,3.141813290407055,16.389303612329673,0.02443020990283612,0.02443020990283612,1.2074817236362554
A,11,random_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.06857001921142256,55.37265733145938,10.525282644361788,2.9528785903664714,21.671345711434988,0.0,0.0,1.2074817236362554
A,11,mmd_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.09300022911425868,73.21848617700095,15.149774637724713,3.141813290407055,16.389303612329673,0.02443020990283612,0.02443020990283612,1.2074817236362554
A,11,wasserstein_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.09300022911425868,73.21848617700095,15.149774637724713,3.141813290407055,16.389303612329673,0.02443020990283612,0.02443020990283612,1.2074817236362554
A,11,pooled_source_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.07208615006166151,798.359479951978,5.086721493239758,4.002453847625168,12.024658366341916,0.003516130850238955,0.003516130850238955,1.2074817236362554
A,11,single_source_unweighted_LS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.06242740502718439,1199.999999999999,14.271537090387868,0.0,1.0,-0.006142614184238164,-0.006142614184238164,1.2074817236362554
A,11,mixed_shift_gate_plus_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.07640511810100978,61.838597897058136,12.442847360166937,3.2425211440476436,19.40535589097468,0.007835098889587222,0.007835098889587222,1.2074817236362554
A,11,oracle_best_source_retrospective,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.06857001921142256,55.37265733145938,10.525282644361788,2.9528785903664714,21.671345711434988,0.0,0.0,1.2074817236362554
A,23,stability_aware_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.07360452311487989,100.53078994897854,4.2771562968664325,4.773572564291215,11.936641506603062,0.008020464494032056,0.008020464494032056,0.9001539079498477
A,23,random_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.06684313308597223,63.36811356070851,9.656082842851665,1.0694016562289568,18.936968965890117,0.0012590744651243962,0.0012590744651243962,0.9001539079498477
A,23,mmd_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.19255639700433305,96.48731223111129,5.188709255180387,3.900102656175414,12.436868353446568,0.1269723383834852,0.1269723383834852,0.9001539079498477
A,23,wasserstein_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.19255639700433305,96.48731223111129,5.188709255180387,3.900102656175414,12.436868353446568,0.1269723383834852,0.1269723383834852,0.9001539079498477
A,23,pooled_source_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.09725525495886522,1703.2230026629518,3.5858140647398176,4.506058562378772,5.636372914742421,0.03167119633801739,0.03167119633801739,0.9001539079498477
A,23,single_source_unweighted_LS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.09320818316652867,1199.999999999999,8.777514932028248,0.0,1.0,0.027624124545680834,0.027624124545680834,0.9001539079498477
A,23,mixed_shift_gate_plus_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.19255639700433305,96.48731223111129,5.188709255180387,3.900102656175414,12.436868353446568,0.1269723383834852,0.1269723383834852,0.9001539079498477
A,23,oracle_best_source_retrospective,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.06558405862084783,89.2806455367227,7.364896061393398,3.8040989872818014,13.440763031896045,0.0,0.0,0.9001539079498477
A,47,stability_aware_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.07104085001293062,94.34470675726352,7.574299125562514,4.473909450831261,12.719314535401075,0.0,0.0,0.955605201154298
A,47,random_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.07176573537346992,37.59229977674845,9.445093309758755,3.231838975844835,31.921430907948487,0.0007248853605393013,0.0007248853605393013,0.955605201154298
A,47,mmd_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.07341665633806412,85.06558089553837,10.393229316110562,4.460432739247376,14.106763127496507,0.0023758063251334977,0.0023758063251334977,0.955605201154298
