setting,seed,g_safe,g_harm,threshold_feasible,feasibility_gap
A,11,3.211056827158061,2.624395824959821,0.0,-0.5866610021982397
A,23,3.443724884510761,2.423845307055892,0.0,-1.0198795774548692
A,47,3.095556966063552,2.6241527239359614,0.0,-0.4714042421275906
A,89,3.2057845362162114,2.0957730477154968,0.0,-1.1100114885007146
A,131,3.2591260314273987,2.3881523099861415,0.0,-0.8709737214412572
B,11,4.071757514832031,3.2738982850201306,0.0,-0.7978592298119005
B,23,4.4725176287480215,2.967567015502124,0.0,-1.5049506132458976
B,47,3.8562824806442615,3.2396030219836596,0.0,-0.6166794586606019
B,89,4.17109962935641,2.584855845141988,0.0,-1.5862437842144224
B,131,4.176829324518038,2.931847004453796,0.0,-1.244982320064242
C,11,4.730793490068661,3.7514458866025495,0.0,-0.979347603466111
C,23,5.267568345089416,3.397693664207784,0.0,-1.8698746808816322
C,47,4.46462698504935,3.666745922197726,0.0,-0.7978810628516237
C,89,4.909272312292839,2.8948376461080887,0.0,-2.0144346661847505
C,131,4.9058109776041094,3.2688604548023497,0.0,-1.6369505228017598
