setting,seed,tau_quantile,tau_value,retained_count,safe_source_retention_rate,false_rejection_rate_safe_sources,target_mse_after_gating,worst_decile_target_mse_after_gating,selection_regret_after_gating
A,11,0.5,2.6263213912556194,8,0.875,0.5,0.06715342976770106,0.3415062404047245,0.006045246075338094
A,11,0.7,2.7464434982070376,11,0.8181818181818182,0.35714285714285715,0.06715342976770106,0.3415062404047245,0.006045246075338094
A,11,0.8,2.8397437805066095,13,0.8461538461538461,0.21428571428571427,0.06715342976770106,0.3415062404047245,0.006045246075338094
A,11,0.9,2.926716553467121,14,0.8571428571428571,0.14285714285714285,0.06715342976770106,0.3415062404047245,0.006045246075338094
A,23,0.5,2.458633879393483,8,0.875,0.5,0.07243285359781729,0.33847720855552005,0.007280519610636929
A,23,0.7,2.7753851735247657,11,0.8181818181818182,0.35714285714285715,0.07243285359781729,0.33847720855552005,0.007280519610636929
A,23,0.8,2.828922176430404,13,0.8461538461538461,0.21428571428571427,0.07243285359781729,0.33847720855552005,0.007280519610636929
A,23,0.9,2.9485542080784004,14,0.8571428571428571,0.14285714285714285,0.07243285359781729,0.33847720855552005,0.007280519610636929
A,47,0.5,2.5380333017074403,8,1.0,0.42857142857142855,0.0885083545704136,0.29749240810731015,0.028497871731249798
A,47,0.7,2.649385013997742,11,0.9090909090909091,0.2857142857142857,0.0885083545704136,0.29749240810731015,0.028497871731249798
A,47,0.8,2.696563154356539,13,0.9230769230769231,0.14285714285714285,0.0885083545704136,0.29749240810731015,0.028497871731249798
A,47,0.9,2.751005322276078,14,0.9285714285714286,0.07142857142857142,0.0885083545704136,0.29749240810731015,0.028497871731249798
A,89,0.5,2.5470050806287587,8,0.75,0.5714285714285714,0.07994268263623742,0.3889341506365469,0.015193129736043254
A,89,0.7,2.6481795654053393,11,0.8181818181818182,0.35714285714285715,0.07994268263623742,0.3889341506365469,0.015193129736043254
A,89,0.8,2.7750568634217263,13,0.8461538461538461,0.21428571428571427,0.07994268263623742,0.3889341506365469,0.015193129736043254
A,89,0.9,2.922035100186438,14,0.8571428571428571,0.14285714285714285,0.07994268263623742,0.3889341506365469,0.015193129736043254
A,131,0.5,2.7909036335398385,8,0.75,0.5714285714285714,0.064938540084424,0.3059060332648998,0.003438244043255996
A,131,0.7,2.8713640630743367,11,0.8181818181818182,0.35714285714285715,0.064938540084424,0.3059060332648998,0.003438244043255996
A,131,0.8,2.916875011312937,13,0.8461538461538461,0.21428571428571427,0.064938540084424,0.3059060332648998,0.003438244043255996
A,131,0.9,3.106759617707664,14,0.8571428571428571,0.14285714285714285,0.064938540084424,0.3059060332648998,0.003438244043255996
B,11,0.5,3.304434622972386,8,0.875,0.5,0.12714203075862698,0.4775795728856607,0.008000132460810383
B,11,0.7,3.438957220637997,11,0.8181818181818182,0.35714285714285715,0.12714203075862698,0.4775795728856607,0.008000132460810383
B,11,0.8,3.6489665893536327,13,0.8461538461538461,0.21428571428571427,0.12714203075862698,0.4775795728856607,0.008000132460810383
B,11,0.9,3.6898690979014557,14,0.8571428571428571,0.14285714285714285,0.12714203075862698,0.4775795728856607,0.008000132460810383
B,23,0.5,3.0892887921497247,8,0.875,0.5,0.1419574015973794,0.24487525153355605,0.014149107623885021
B,23,0.7,3.4178350435788145,11,0.8181818181818182,0.35714285714285715,0.1419574015973794,0.24487525153355605,0.014149107623885021
B,23,0.8,3.584456319795926,13,0.8461538461538461,0.21428571428571427,0.1419574015973794,0.24487525153355605,0.014149107623885021
B,23,0.9,3.7575333638550235,14,0.8571428571428571,0.14285714285714285,0.1419574015973794,0.24487525153355605,0.014149107623885021
B,47,0.5,3.161872010237032,8,1.0,0.42857142857142855,0.2358286573086275,0.3432491472390135,0.11887701570099346
B,47,0.7,3.3340904204837973,11,0.9090909090909091,0.2857142857142857,0.2358286573086275,0.3432491472390135,0.11887701570099346
B,47,0.8,3.4339321395817404,13,0.8461538461538461,0.21428571428571427,0.2358286573086275,0.3432491472390135,0.11887701570099346
B,47,0.9,3.4684845879842716,14,0.8571428571428571,0.14285714285714285,0.2358286573086275,0.3432491472390135,0.11887701570099346
B,89,0.5,3.1306012120358386,8,0.75,0.5714285714285714,0.12822829992319162,0.355252957912902,0.0004397374175531821
B,89,0.7,3.3020310211977746,11,0.8181818181818182,0.35714285714285715,0.12822829992319162,0.355252957912902,0.0004397374175531821
B,89,0.8,3.443952218724167,13,0.8461538461538461,0.21428571428571427,0.12822829992319162,0.355252957912902,0.0004397374175531821
B,89,0.9,3.718243886538822,14,0.8571428571428571,0.14285714285714285,0.12822829992319162,0.355252957912902,0.0004397374175531821
B,131,0.5,3.5410360386401507,8,0.75,0.5714285714285714,0.12732220872601657,0.4193381639437249,0.006580037179189313
B,131,0.7,3.6369837969036753,11,0.8181818181818182,0.35714285714285715,0.12732220872601657,0.4193381639437249,0.006580037179189313
B,131,0.8,3.656048175993803,13,0.8461538461538461,0.21428571428571427,0.12732220872601657,0.4193381639437249,0.006580037179189313
B,131,0.9,3.9720060068205694,14,0.8571428571428571,0.14285714285714285,0.12732220872601657,0.4193381639437249,0.006580037179189313
C,11,0.5,3.78687931849222,8,0.875,0.5,0.21309860278109102,0.6558172068187537,0.01644125908764596
C,11,0.7,3.9740498665661983,11,0.8181818181818182,0.35714285714285715,0.21309860278109102,0.6558172068187537,0.01644125908764596
C,11,0.8,4.173584888377295,13,0.8461538461538461,0.21428571428571427,0.21309860278109102,0.6558172068187537,0.01644125908764596
C,11,0.9,4.211218820141478,14,0.8571428571428571,0.14285714285714285,0.21309860278109102,0.6558172068187537,0.01644125908764596
C,23,0.5,3.5533591570713714,8,0.875,0.5,0.23399821420755434,0.2672450008705203,0.022916732138701018
C,23,0.7,3.908032618235675,11,0.8181818181818182,0.35714285714285715,0.23399821420755434,0.2672450008705203,0.022916732138701018
C,23,0.8,4.1757927468421565,13,0.8461538461538461,0.21428571428571427,0.23399821420755434,0.2672450008705203,0.022916732138701018
C,23,0.9,4.344052114886896,14,0.8571428571428571,0.14285714285714285,0.23399821420755434,0.2672450008705203,0.022916732138701018
C,47,0.5,3.5843805315870796,8,1.0,0.42857142857142855,0.4576913264535182,0.48086024717907844,0.2649203270875559
C,47,0.7,3.8134366279148857,11,0.9090909090909091,0.2857142857142857,0.4576913264535182,0.48086024717907844,0.2649203270875559
C,47,0.8,3.967551536955299,13,0.8461538461538461,0.21428571428571427,0.4576913264535182,0.48086024717907844,0.2649203270875559
C,47,0.9,3.9973616894883683,14,0.8571428571428571,0.14285714285714285,0.4576913264535182,0.48086024717907844,0.2649203270875559
C,89,0.5,3.545378085912227,8,0.75,0.5714285714285714,0.21611459091286767,0.4025543906428321,0.004773046434556449
C,89,0.7,3.7395501373075315,11,0.8181818181818182,0.35714285714285715,0.21611459091286767,0.4025543906428321,0.004773046434556449
C,89,0.8,3.9517435718084823,13,0.8461538461538461,0.21428571428571427,0.21611459091286767,0.4025543906428321,0.004773046434556449
C,89,0.9,4.324760917246982,14,0.8571428571428571,0.14285714285714285,0.21611459091286767,0.4025543906428321,0.004773046434556449
C,131,0.5,4.048787290554405,8,0.75,0.5714285714285714,0.21532488579678505,0.6349577784017584,0.015651390061947712
C,131,0.7,4.1789416088771345,11,0.8181818181818182,0.35714285714285715,0.21532488579678505,0.6349577784017584,0.015651390061947712
C,131,0.8,4.266233671899116,13,0.8461538461538461,0.21428571428571427,0.21532488579678505,0.6349577784017584,0.015651390061947712
C,131,0.9,4.647919610579482,14,0.8571428571428571,0.14285714285714285,0.21532488579678505,0.6349577784017584,0.015651390061947712
